Timestamp,How do you eat your bagels?
7/31/2017 15:24,"Cut them horizontally, eat slices individually"
7/31/2017 15:25,"Cut them horizontally, eat slices individually"
7/31/2017 15:25,"Cut them horizontally, eat slices individually"
7/31/2017 15:25,"Cut them horizontally, eat slices individually"
7/31/2017 15:25,"Cut them horizontally, eat slices individually"
7/31/2017 15:25,I don't eat bagels
7/31/2017 15:27,"Cut them horizontally, eat slices individually"
7/31/2017 15:27,"Cut them horizontally, eat slices individually"
7/31/2017 15:27,"Cut them horizontally, eat slices individually"
7/31/2017 15:27,I don't eat bagels
7/31/2017 15:27,"Cut them horizontally, eat slices individually"
7/31/2017 15:28,"Cut them horizontally, then put slices together like a sandwich"
